Wines,Reviews,Rating,Keywords_count
Saint-Joseph,3931,4.3,4
Saint-Julien (Grand Cru Classé),29317,4.4,7
Saint-Émilion Grand Cru,5390,4.6,4
Saint-Émilion Grand Cru (Grand Cru Classé),3498,4.4,2
Saint-Émilion Grand Cru (Premier Grand Cru Classé),15671,4.5,7
San Vicente Rioja,10701,4.3,3
Sancerre 'Clos la Néore',699,4.4,2
Saperavi,4745,4.4,3
Sassella Nuova Regina Riserva,987,4.3,1
Sassicaia,107646,4.6,6
Sauternes,44126,4.7,4
Sauternes (Premier Grand Cru Classé),19239,4.4,5
Scharzhofberger Riesling Kabinett,3047,4.4,4
Scharzhofberger Riesling Spätlese,1564,4.4,2
Scrio,2322,4.3,1
Semel Pater,710,4.4,1
Series C,3027,4.5,2
Series M,2995,4.4,4
Serral del Vell Brut Nature,2418,4.3,2
Siepi,8129,4.4,4
Silex,8386,4.5,4
Single Barrel Champagne Grand Cru 'Le Mesnil-sur-Oger',34,4.6,1
Sir Winston Churchill Brut Champagne,12873,4.6,2
Solare Toscana,4961,4.2,2
Son Negre,521,4.5,1
Sorì San Lorenzo,3857,4.6,3
Sorì Tildìn (Barbaresco) Langhe,3955,4.6,5
Special Selection Cabernet Sauvignon,41236,4.7,6
Sperss Barolo,10950,4.6,5
St. Henri Shiraz,17326,4.4,5
TD9,6056,4.3,5
Tenuta Guado al Tasso Bolgheri Superiore,33392,4.5,4
Tenuta Guado al Tasso Matarocchio,1875,4.6,2
Tenuta Montebello Picconero,2011,4.4,1
Tenuta Nuova Brunello di Montalcino,20934,4.5,4
Tenuta Tignanello 'Solaia',33143,4.6,4
Terrasse à l'Ombre Côtes du Rhône,819,4.5,1
Tessons Clos de Mon Plaisir Meursault,761,4.4,1
The Armagh Shiraz,2472,4.5,2
The Black Lion,476,4.7,2
The Laird,627,4.7,1
The Mackenzie,1220,4.4,1
Tignanello,142513,4.5,5
Tinto,65625,4.4,4
Todeschini Distique Saint-Émilion Grand Cru,185,4.4,1
Tokaji Aszú 3 Puttonyos,7080,4.3,1
Tokaji Aszú 5 Puttonyos,5449,4.5,3
Tokaji Aszú 6 Puttonyos,2366,4.6,2
Toknar,2033,4.4,2
Tordiz 40 Year Old Tawny Port,474,4.6,1
Toro,60705,4.4,6
Torre Muga,8767,4.4,3
Toscana,7434,4.2,4
Toscana Batar,4187,4.3,1
Toscana Bianco,833,4.5,1
Toscana Camartina,3673,4.3,4
Toscana I Sodi di San Niccolo,8853,4.4,1
Toscana Il Pareto,3195,4.3,1
Toscana Rosso,2799,4.5,2
Touran,274,4.6,1
Tourmaline Pomerol,237,4.5,1
Trasnocho,3399,4.5,2
Trebbiano d'Abruzzo,5834,4.4,2
Treinta y Dos Pinot Noir,3417,4.4,2
Trittenheimer Apotheke,27,4.5,1
Turriga Isola dei Nuraghi,14641,4.4,4
Ulysses,1980,4.3,2
Unico,45140,4.7,5
Unico Reserva Especial Edición,13025,4.7,2
V Red,1715,4.4,2
V.P Extra Brut Champagne Grand Cru 'Ambonnay',2079,4.4,2
VIK,8493,4.6,3
VT Vendemmia Tardiva,1096,4.4,1
VV 26 Blanc de Blancs Vieilles Vignes Grand Cru Brut,314,4.5,1
Vacqueyras,3412,4.3,2
Valbuena 5º,72784,4.6,6
Valdegatiles Ribera del Duero,587,4.4,1
Valdegines,2594,4.2,1
Valmezzane Amarone della Valpolicella,799,4.4,1
Valpolicella Classico Superiore,12262,4.5,2
Valpolicella Superiore Monte Lodoletta,13024,4.5,5
Vecchie Vigne Brunello di Montalcino,3868,4.3,4
Veneto Alzero Cabernet,2600,4.7,1
Veneto Rosso del Bepi,3747,4.6,2
Victorino,9294,4.3,4
Vieilles Vignes Châteauneuf-du-Pape Blanc,2587,4.4,3
Vieilles Vignes La Parcelle 8 Apalta,184,4.4,2
Vieilles Vignes Meursault,1426,4.2,2
Vieux Marc de Bandol,102,4.5,1
Vigna Cappella di S. Stefano Perno Barolo,2514,4.4,2
Vigna Colonnello Barolo Riserva Bussia,957,4.4,1
Vigna Grande Cerzito Taurasi Riserva,581,4.5,1
Vigna Molsino,2269,4.3,3
Vigne Vecchie Gold Series Leggenda Primitivo di Manduria,3121,4.3,1
Vigneto Bellavista Chianti Classico,1402,4.4,1
Vin Santo di Montepulciano,773,4.6,1
Vin Santo di Montepulciano Occhio di Pernice,1867,4.4,1
Vin de Constance (Natural Sweet),13210,4.6,4
Vin de Paille,35,4.5,1
Vin de Pays de l'Hérault,8933,4.5,3
Vintage,16918,4.6,4
Vintage Port,1972,4.4,2
Vintage Port Nacional,1122,4.6,1
Vite Talin Barolo,131,4.5,1
Vittorio Moretti,2025,4.4,1
Viña El Pison,3027,4.6,3
Volnay 1er Cru Les Caillerets,591,4.3,3
Vosne-Romanée,1030,4.3,1
Vosne-Romanée 'Les Quartiers de Nuits',511,4.3,1
Vosne-Romanée 1er Cru 'Aux Malconsorts',681,4.5,1
Vosne-Romanée Premier Cru 'Les Suchots',601,4.3,1
Vosne-Romanée Premier Cru Aux Reignots,645,4.6,3
Vosne-Romanée Premier Cru Les Suchots,522,4.3,3
Vénus Blanc de Blancs Brut Nature Champagne Grand Cru 'Avize',794,4.4,1
Vürsù Barbaresco Gallina,4262,4.4,3
Vürsù Barbaresco Starderi,4414,4.4,3
Vürsù Barbaresco Valeirano,3263,4.4,2
Vürsù Barolo Campè,6260,4.4,2
Winemaker's Selection,292,4.3,1
Yarden Katzrin,894,4.5,1
d'Alceo,3133,4.4,3
Παλιές Ρίζες (Palies Rizes),313,4.4,1
